variant,note,added_features,folds,eval_pr_auc_mean,eval_pr_auc_std,eval_pr_auc_min,eval_pr_auc_max,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_min,eval_roc_auc_max,eval_precision_mean,eval_precision_std,eval_precision_min,eval_precision_max,eval_recall_mean,eval_recall_std,eval_recall_min,eval_recall_max,eval_f1_mean,eval_f1_std,eval_f1_min,eval_f1_max,eval_false_positive_mean,eval_false_positive_std,eval_false_positive_min,eval_false_positive_max,eval_false_negative_mean,eval_false_negative_std,eval_false_negative_min,eval_false_negative_max,total_false_positive,total_false_negative,selection_stage,test_pr_auc,test_roc_auc,test_precision_at_threshold,test_recall_at_threshold,test_f1_at_threshold,test_false_positive_at_threshold,test_false_negative_at_threshold,threshold_tuned,rolling_f1_delta_vs_baseline,rolling_pr_auc_delta_vs_baseline,test_f1_delta_vs_baseline,test_pr_auc_delta_vs_baseline,test_fn_delta_vs_baseline,test_fp_delta_vs_baseline
pair_rolling_pool__interest_burden_ratio__is_operating_income_turn_negative,"rolling 상위 단일 후보 2개 조합: interest_burden_ratio, is_operating_income_turn_negative","interest_burden_ratio, is_operating_income_turn_negative",4,0.7994086412216038,0.024552753304273187,0.7673467093384756,0.8362080028645708,0.9171251227382937,0.006431731501935067,0.908589835361489,0.926646838187892,0.6274708814960411,0.04776510938787545,0.5669642857142857,0.7005988023952096,0.8435056871936012,0.057040082010893875,0.7748344370860927,0.9071428571428571,0.7163960432270945,0.019215692195714288,0.6965699208443272,0.7358490566037735,80.75,18.619546181365433,50.0,97.0,24.75,9.01041064547005,13.0,34.0,323,99,pair_rolling_pool,0.7649940219352512,0.9058575917471986,0.6,0.8263473053892215,0.6952141057934509,92,29,0.305,0.014236384811617375,0.0038638933117568497,-0.03947977175756956,-0.00939993615914958,6,11
pair_rolling_pool__interest_burden_ratio__ap_days_diff,"rolling 상위 단일 후보 2개 조합: interest_burden_ratio, ap_days_diff","interest_burden_ratio, ap_days_diff",4,0.8037741878032261,0.018776630489789975,0.7778882302547011,0.830716102124563,0.9176553844354417,0.005753797252438325,0.9099319971367216,0.9258116978257047,0.6206058704875734,0.05037645463431767,0.5589519650655022,0.6982248520710059,0.8557538488002064,0.05745108221902607,0.7814569536423841,0.9142857142857143,0.7160960910907592,0.022175808730363827,0.6937669376693767,0.7390300230946882,84.5,19.817921182606415,51.0,101.0,22.75,8.926785535678562,12.0,33.0,338,91,pair_rolling_pool,0.7720490025193683,0.9101796407185628,0.642512077294686,0.7964071856287425,0.7112299465240641,74,34,0.335,0.013936432675282107,0.008229439893379098,-0.02346393102695632,-0.002344955575032559,11,-7
pair_rolling_pool__interest_burden_ratio__is_3y_consecutive_operating_loss,"rolling 상위 단일 후보 2개 조합: interest_burden_ratio, is_3y_consecutive_operating_loss","interest_burden_ratio, is_3y_consecutive_operating_loss",4,0.8006047689118858,0.025182641979125606,0.7648117859893372,0.8343418200550133,0.9169802845874975,0.006777722148592485,0.9071760916249105,0.9260607747758307,0.6172716404401126,0.037919584068043015,0.5669642857142857,0.6703910614525139,0.8542490897623348,0.05402166975625305,0.7947019867549668,0.9090909090909091,0.7145950356427523,0.02217752732009164,0.689119170984456,0.7441860465116279,84.5,15.074813431681335,59.0,97.0,23.0,8.573214099741124,13.0,32.0,338,92,pair_rolling_pool,0.7684169536764132,0.9071026264303077,0.6261261261261262,0.8323353293413174,0.7146529562982005,83,28,0.31,0.012435377227275168,0.005060021002038839,-0.020040921252819976,-0.0059770044179876525,5,2
pair_rolling_pool__interest_burden_ratio__equity_growth,"rolling 상위 단일 후보 2개 조합: interest_burden_ratio, equity_growth","interest_burden_ratio, equity_growth",4,0.8010511987278792,0.01980121262954659,0.7705830457246448,0.8256879316493688,0.9173538802925327,0.00489627495922902,0.9095561918396564,0.9230791771669695,0.6229661964956082,0.04381027263887488,0.5882352941176471,0.696969696969697,0.8468773293483558,0.07061554562052497,0.7615894039735099,0.9285714285714286,0.7144651668391453,0.020987450510864866,0.6787564766839378,0.7310344827586207,82.75,19.30511590226798,50.0,100.0,24.25,11.053845484717073,10.0,36.0,331,97,pair_rolling_pool,0.7760847587882352,0.9120234777968814,0.6228070175438597,0.8502994011976048,0.7189873417721518,86,25,0.315,0.012305508423668177,0.005506450818032249,-0.015706535778868602,0.0016908006938344267,2,5
single__rolling_3y_cv_operating_margin,단일 후보 변수: rolling_3y_cv_operating_margin,rolling_3y_cv_operating_margin,4,0.7916871486906962,0.012837132293549077,0.7702336526386422,0.8040558281102874,0.9160730435308098,0.0034840980831095316,0.9106895728942973,0.9192807768268598,0.6156350981252716,0.04473469810108599,0.5777777777777777,0.6882352941176471,0.8583325270204409,0.054843613757833996,0.7748344370860927,0.9285714285714286,0.7139204424442314,0.013607037901684887,0.6926829268292682,0.7289719626168224,86.5,19.615045245933032,53.0,103.0,22.5,8.5,10.0,34.0,346,90,single,0.7675932409631946,0.9035928143712575,0.6060606060606061,0.8383233532934131,0.7035175879396985,91,27,0.315,0.011760784028754245,-0.0038575992191507424,-0.031176289611321906,-0.006800717131206224,4,10
pair_rolling_pool__ar_days__capital_impairment_diff,"rolling 상위 단일 후보 2개 조합: ar_days, capital_impairment_diff","ar_days, capital_impairment_diff",4,0.7962571816906228,0.017790463312713334,0.766016267900709,0.8117841401984269,0.9170896343739975,0.005561901354928251,0.9076473395371033,0.9219510050987516,0.6231667780155372,0.049986303351009176,0.5676855895196506,0.703030303030303,0.841525382729853,0.06214634930636928,0.7682119205298014,0.9285714285714286,0.7124042575967355,0.01876742075455329,0.6857142857142857,0.7341772151898734,82.25,19.587942719948924,49.0,99.0,25.25,9.908960591303208,10.0,35.0,329,101,pair_rolling_pool,0.7646045313349715,0.9097824153672853,0.5887096774193549,0.874251497005988,0.7036144578313253,102,21,0.265,0.010244599181258418,0.0007124337807757897,-0.03107941971969519,-0.009789426759429287,-2,21
pair_rolling_pool__interest_burden_ratio__ocf_deficit_flag,"rolling 상위 단일 후보 2개 조합: interest_burden_ratio, ocf_deficit_flag","interest_burden_ratio, ocf_deficit_flag",4,0.7983083646819299,0.02470636166753479,0.7648117859893372,0.8343418200550133,0.9166251709511339,0.00670417360711303,0.9071760916249105,0.9260607747758307,0.6161658274715146,0.03759770068091822,0.5669642857142857,0.6703910614525139,0.8499877261259712,0.050054136633249514,0.7947019867549668,0.9071428571428571,0.7123892734293652,0.019388073952779483,0.689119170984456,0.7353629976580797,84.5,15.074813431681335,59.0,97.0,23.75,8.042853971072706,13.0,32.0,338,95,pair_rolling_pool,0.7649940219352512,0.9058575917471986,0.6,0.8263473053892215,0.6952141057934509,92,29,0.305,0.010229615013888083,0.002763616772082922,-0.03947977175756956,-0.00939993615914958,6,11
pair_rolling_pool__interest_burden_ratio__is_3y_consecutive_ocf_deficit,"rolling 상위 단일 후보 2개 조합: interest_burden_ratio, is_3y_consecutive_ocf_deficit","interest_burden_ratio, is_3y_consecutive_ocf_deficit",4,0.7983083646819299,0.02470636166753479,0.7648117859893372,0.8343418200550133,0.9166251709511339,0.00670417360711303,0.9071760916249105,0.9260607747758307,0.6161658274715146,0.03759770068091822,0.5669642857142857,0.6703910614525139,0.8499877261259712,0.050054136633249514,0.7947019867549668,0.9071428571428571,0.7123892734293652,0.019388073952779483,0.689119170984456,0.7353629976580797,84.5,15.074813431681335,59.0,97.0,23.75,8.042853971072706,13.0,32.0,338,95,pair_rolling_pool,0.7649940219352512,0.9058575917471986,0.6,0.8263473053892215,0.6952141057934509,92,29,0.305,0.010229615013888083,0.002763616772082922,-0.03947977175756956,-0.00939993615914958,6,11
pair_rolling_pool__interest_burden_ratio__negative_equity_flag,"rolling 상위 단일 후보 2개 조합: interest_burden_ratio, negative_equity_flag","interest_burden_ratio, negative_equity_flag",4,0.7983083646819299,0.02470636166753479,0.7648117859893372,0.8343418200550133,0.9166251709511339,0.00670417360711303,0.9071760916249105,0.9260607747758307,0.6161658274715146,0.03759770068091822,0.5669642857142857,0.6703910614525139,0.8499877261259712,0.050054136633249514,0.7947019867549668,0.9071428571428571,0.7123892734293652,0.019388073952779483,0.689119170984456,0.7353629976580797,84.5,15.074813431681335,59.0,97.0,23.75,8.042853971072706,13.0,32.0,338,95,pair_rolling_pool,0.7649940219352512,0.9058575917471986,0.6,0.8263473053892215,0.6952141057934509,92,29,0.305,0.010229615013888083,0.002763616772082922,-0.03947977175756956,-0.00939993615914958,6,11
pair_rolling_pool__interest_burden_ratio__is_negative_equity_entry,"rolling 상위 단일 후보 2개 조합: interest_burden_ratio, is_negative_equity_entry","interest_burden_ratio, is_negative_equity_entry",4,0.7983083646819299,0.02470636166753479,0.7648117859893372,0.8343418200550133,0.9166251709511339,0.00670417360711303,0.9071760916249105,0.9260607747758307,0.6161658274715146,0.03759770068091822,0.5669642857142857,0.6703910614525139,0.8499877261259712,0.050054136633249514,0.7947019867549668,0.9071428571428571,0.7123892734293652,0.019388073952779483,0.689119170984456,0.7353629976580797,84.5,15.074813431681335,59.0,97.0,23.75,8.042853971072706,13.0,32.0,338,95,pair_rolling_pool,0.7649940219352512,0.9058575917471986,0.6,0.8263473053892215,0.6952141057934509,92,29,0.305,0.010229615013888083,0.002763616772082922,-0.03947977175756956,-0.00939993615914958,6,11
